index,char,frequency
0,Å@,2546419
1,:,1511069
2, ,1151614
3,.,413490
4,/,256836
5,|,155314
6,i,121309
7,_,114951
8,;,111149
9,',109907
10,;,106350
11,Å^,87361
12,Å_,82155
13,-,76493
14,∆,70036
15,l,64810
16,ÅR,56207
17,§,51564
18,Éj,45708
19,ÅQ,44966
20,ÅP,43129
21,},42473
22,{,41299
23,=,36183
24,!,34485
25,ÅM,31037
26,ÅL,30168
27,Å],26722
28,ìÒ,26417
29,éO,21767
30,`,17444
31,ÅA,17135
32,Å»,17039
33,…,15684
34,Å…,15542
35,Å‹,14645
36,"""",14077
37,Ém,14029
38,r,13043
39,ÅÑ,12142
40,V,11780
41,Å\,11531
42,ﬁ,11211
43,j,11076
44,Çâ,9855
45,Ñü,9775
46,ÅN,9698
47, ,9456
48,Õ,8982
49,≤,8926
50,ÅÉ,8669
51,Å[,8557
52,∞,8333
53,År,8293
54,),8164
55,ÅS,7928
56,Çå,7763
57,Åå,7762
58,ÉC,7739
59,(,7353
60,Åq,7271
61,ÅT,6852
62,ò§,6442
63,~,6077
64,É~,5798
65,î™,5734
66,Y,5583
67,7,5575
68,ƒ,5451
69,®,5310
70,ÅÜ,5128
71,>,5102
72,ÉB,5002
73,òß,4933
74,^,4773
75,Åb,4531
76,úc,4423
77,êl,4391
78,ÿ,4251
79,°,4225
80,ÅÖ,4147
81,–,4008
82,Ç≠,3952
83,x,3770
84,ÅÅ,3707
85,Åe,3587
86,Én,3560
87,f,3488
88,—,3400
89,ÅC,3381
90,œ,3272
91,Ég,3232
92,<,3077
93,ﬂ,2964
94,ò∏,2703
95,z,2625
96,Åu,2578
97,ß,2490
98,ÅV,2469
99,L,2459
100,Åj,2345
101,⁄,2322
102,Åi,2188
103,Çí,2188
104,ÅO,2159
105,Å`,2074
106,Ñ†,2070
107,Å⁄,2035
108,Åo,2004
109,s,1981
110,Åv,1941
111,ÅU,1916
112,Åp,1893
113,Ål,1879
114,ø,1822
115,Åa,1799
116,v,1775
117,o,1728
118,Çä,1724
119,Å„,1688
120,ìl,1685
121,],1587
122,Ç÷,1574
123,ÅD,1568
124,å\,1548
125,Ñ¢,1546
126,ÅB,1487
127,ô ,1447
128,t,1435
129,Åf,1415
130,ÇV,1350
131,[,1334
132,ÅJ,1330
133,úT,1328
134,‡©,1309
135,Ñ§,1298
136,Åk,1288
137,áY,1277
138,¢,1267
139,ÉA,1256
140,±,1245
141,X,1209
142,ê°,1183
143,T,1159
144,Ñ£,1156
145,1,1155
146,Çu,1149
147,Ã,1123
148,‘,1116
149,É\,1112
150,£,1092
151,Éw,1069
152,Áà,1065
153,Çò,1060
154,Åc,1045
155,y,1023
156,É©,1022
157,ÅÇ,1007
158,àÍ,971
159,ÉÄ,968
160,Çµ,945
161,úM,943
162,Ét,914
163,Ñ®,914
164,+,900
165,É¡,894
166,ÅE,883
167,Åt,856
168,Çx,823
169,ò¶,798
170,Z,793
171,ÅF,793
172,ô—,791
173,Å ,772
174,Ås,769
175,Éå,750
176,“,748
177,Ñ¶,742
178,I,733
179,ÑT,717
180,*,711
181,èF,704
182,Ç±,702
183,Å|,690
184,≠,685
185,ôk,665
186,h,659
187,ì¸,658
188,çû,657
189,O,655
190,ÇÜ,650
191,ò¢,647
192,k,643
193,Ñ©,627
194,Ñ°,622
195,Ç¢,600
196,á_,576
197,É@,575
198,ÅI,559
199,Ç§,558
200,É},554
201,ÉÅ,543
203,Ç£,515
204,#,513
205,Çƒ,512
206,ÇÒ,498
207,Éc,491
208,Ø,489
209,Éì,480
210,u,478
211,éÙ,477
212,™,472
213,Éä,469
214,•,466
215,N,459
216,Å‚,455
217,ÅK,442
218,áW,435
219,Ç¬,434
220,Çà,430
221,Ç¡,429
222,Çk,427
223,º,427
224,À,420
225,U,417
226,Çö,414
227,É…,411
228,Ÿ,409
229,›,401
230,êS,401
231,ÅG,399
232,0,399
233,êÏ,382
234,Åõ,381
235,âó,381
236,üT,376
237,öß,375
238,W,353
239,√,352
240,Åh,343
241,Åº,343
243,ÇË,339
244,Åﬂ,335
245,ÇΩ,332
246,Çy,329
247,Çî,326
248,è¨,323
249,¡,323
250,Çñ,321
251,úe,313
252,íö,312
253,¬,311
254,‚ï,311
255,Åç,298
256,c,297
257,Ç…,294
258,¨,292
259,Ñß,292
